"";"UF";"Year";"EvapoBHReal";"InsolacaoTotal";"PrecipitacaoTotal";"PressaoMedia";"TempMaximaMedia";"TempMinimaMedia";"Safra";"Area";"Produtividade";"Producao"
"137";"AL";2005;NA;223,79298245614;98,0775862068966;974,870399724138;30,2848644137931;21,4022380172414;"2005.06";83,7;630;52,7
"138";"AM";2005;NA;151,946428571429;196,92298136646;1001,79745215789;33,1858955584416;23,1976799426752;"2005.06";12,9;1798;23,2
"139";"AP";2005;NA;209,825;215,958333333333;NA;32,0089273333333;24,37609775;"2005.06";1,5;800;1,2
"140";"BA";2005;NA;203,03679245283;86,8191044776119;961,443953494881;30,10230191875;19,818164140625;"2005.06";777,9;1491;1159,5
"141";"CE";2005;NA;239,977372262774;62,2709219858156;970,593216938776;32,7719066028369;22,2705715957447;"2005.06";638,8;1159;740,4
"142";"DF";2005;NA;198,941666666667;141,495833333333;890,187648416667;27,3406304166667;16,2986040833333;"2005.06";39,5;5927;234,1
"143";"ES";2005;NA;170,829166666667;144,35;1013,60666666667;29,5531825833333;21,2352915;"2005.06";39,8;2101;83,6
"144";"GO";2005;NA;201,962068965517;142,647727272727;933,239559475;30,606954875;18,9786572348485;"2005.06";662,8;4660;3088,8
"145";"MA";2005;NA;212,105839416058;130,809722222222;991,364512351064;33,5104115539568;23,0158499393939;"2005.06";362,7;1170;424,4
"146";"MG";2005;61,6955378148148;191,379381443299;118,58275261324;933,515297183824;28,9439090402802;17,254537609319;"2005.06";1371,7;3850;5280,8
"147";"MS";2005;NA;205,601724137931;98,23;967,089710604167;30,80929905;18,925119;"2005.06";623,4;3595;2241
"148";"MT";2005;NA;173,888571428571;126,724242424242;980,154530720721;33,193948266129;20,2863475555556;"2005.06";1046,8;3848;4028,3
"149";"PA";2005;NA;191,64156626506;191,628488372093;997,239564153846;32,913556;23,7318663139535;"2005.06";275,7;2078;572,9
"150";"PB";2005;NA;226,250746268657;89,9871428571429;964,2959895;30,6844744705882;21,1635653970588;"2005.06";187,6;900;168,8
"151";"PE";2005;NA;226,1;86,6623655913978;955,96107384058;29,7522261612903;20,230761827957;"2005.06";283,4;780;221,1
"152";"PI";2005;NA;242,080555555556;81,7421052631579;980,971937588235;34,2624570519481;22,2555504383562;"2005.06";290,1;804;233,2
"153";"PR";2005;NA;180,895238095238;133,108333333333;930,035918095238;26,1946030416667;15,4345152395833;"2005.06";2491,1;4485;11173
"154";"RJ";2005;NA;163,38125;116,213888888889;968,5319438;28,7269758888889;18,9749401666667;"2005.06";11,1;2396;26,6
"155";"RN";2005;NA;242,158024691358;69,289156626506;989,299644;32,9392656707317;23,1107492439024;"2005.06";84;625;52,5
"156";"RO";2005;NA;NA;NA;NA;NA;NA;"2005.06";142,3;2011;286,2
"157";"RR";2005;NA;186,988888888889;178,754166666667;NA;33,6050390833333;23,7452765833333;"2005.06";12,2;2000;24,4
"158";"RS";2005;NA;188,700490196078;132,073488372093;959,554180244275;24,3307536093023;14,126661144186;"2005.06";1436;3167;4547,8
"159";"SC";2005;NA;173,602380952381;162,582142857143;908,481265285714;24,1497148333333;14,1398435595238;"2005.06";784,8;4050;3178,4
"160";"SE";2005;NA;204,547058823529;83,85;992,114600153846;30,3882490833333;22,3009351714286;"2005.06";142,7;1330;189,8
"161";"SP";2005;NA;186,00198019802;120,14964028777;930,75458217757;27,3375832919708;17,120444104;"2005.06";1049,4;4060;4260,9
"162";"TO";2005;NA;204,627142857143;149,951388888889;977,308760583333;33,1778811944444;21,6633256527778;"2005.06";75,4;2227;167,9
"163";"AC";2006;100,873063285714;152,74;170,011111111111;990,320170565217;31,7388828888889;21,5304393888889;"2006.07";37;1519;56,2
"164";"AL";2006;79,8386313235294;229,826315789474;101,101694915254;973,232132892857;30,2442783965517;21,4178964827586;"2006.07";83,7;550;46
"165";"AM";2006;121,812270842697;148,908088235294;216,213333333333;999,988988777778;32,8159953402778;23,1124600240964;"2006.07";19,7;2249;44,3
"166";"AP";2006;119,163267;201,233333333333;235;1008,7;31,7120731666667;23,73043275;"2006.07";2,1;857;1,8
"167";"BA";2006;65,0610308894231;201,209937888199;80,1684523809524;960,992798532203;29,9859168947368;19,5752582074303;"2006.07";833,1;2037;1696,7
"168";"CE";2006;35,5621565714286;235,385106382979;78,9014184397163;969,734678541667;32,3621325460993;21,9999303687943;"2006.07";673,9;498;335,6
"169";"DF";2006;61,924859375;191,204166666667;142,308333333333;890,216116916667;27,0264753333333;15,6823477083333;"2006.07";44,2;6566;290,2
"170";"ES";2006;85,907240875;179,820833333333;122,0625;1016,18172;29,4351424583333;20,8760339583333;"2006.07";37,8;2399;90,7
"171";"GO";2006;68,2824464367816;201,954166666667;139,50303030303;933,048728529412;30,2575450909091;18,5521814621212;"2006.07";785;4952;3887,5
"172";"MA";2006;63,4809588765432;212,053623188406;144,694444444444;991,157723255556;32,9810241678322;22,7399383239437;"2006.07";367,1;1218;447,1
"173";"MG";2006;67,7563245898123;198,126021505376;115,147957371226;933,709833946342;28,8850917129964;16,8133245009141;"2006.07";1398,5;4474;6256,8
"174";"MS";2006;70,94670365625;215,963333333333;117,078333333333;966,010127782609;30,8884452333333;19,4542380208333;"2006.07";838,2;3521;2951,4
"175";"MT";2006;84,8858341931818;175,961739130435;150,434848484848;980,907573861111;32,9922143307087;20,2902859153846;"2006.07";1592,3;3683;5864,9
"176";"PA";2006;95,1537586530612;192,553142857143;201,653409090909;997,104687701493;32,4610895397727;23,4397694829545;"2006.07";270,2;1970;532,3
"177";"PB";2006;63,3914730476191;241,828571428571;86,5857142857143;962,569055362069;30,8488916428571;21,0090535142857;"2006.07";195,1;363;70,8
"178";"PE";2006;48,6509412545455;228,679347826087;69,858064516129;955,878690811594;29,9745177419355;20,2289179354839;"2006.07";286,2;334;95,6
"179";"PI";2006;42,9631502637363;238,936842105263;89,774025974026;981,668331767442;33,8024631363636;22,120138;"2006.07";295,3;606;179
"180";"PR";2006;73,61054146875;187,209523809524;114,702083333333;930,841827141177;26,4444847978723;15,0890883958333;"2006.07";2772,5;4996;13851,3
"181";"RJ";2006;63,8329903191489;174,908333333333;97,4819444444445;969,686645133333;28,9441991267606;18,4625171830986;"2006.07";10,7;2196;23,5
"182";"RN";2006;45,9604992708333;248,591463414634;76,3621951219512;990,73768068;32,7055659390244;23,0384741707317;"2006.07";82,6;459;37,9
"183";"RO";2006;NA;NA;NA;NA;NA;NA;"2006.07";137,4;2201;302,4
"184";"RR";2006;120,464700571429;189,483333333333;213,1625;NA;33,2410181666667;23,647675375;"2006.07";12,2;2000;24,4
"185";"RS";2006;67,8615721925926;201,816666666667;107,9875;961,102461176471;24,5563331388889;14,0069329490741;"2006.07";1385,7;4300;5958,5
"186";"SC";2006;70,7030558958333;183,036904761905;114,722619047619;915,760285716981;24,3995252738095;14,1726683928571;"2006.07";706,3;5470;3863,5
"187";"SE";2006;91,9847145416667;212,586111111111;109,491666666667;997,094805588235;30,0935780555556;22,2958695833333;"2006.07";144,6;1366;197,5
"188";"SP";2006;63,3253645348837;193,484693877551;125,1;936,800967752137;27,5391768085106;16,920804255814;"2006.07";957,6;4159;3982,2
"189";"TO";2006;88,2596203958333;205,198529411765;147,956944444444;977,600309375;32,7706266388889;21,40308475;"2006.07";85,9;3278;281,6
"190";"AC";2007;117,491166611111;147,311111111111;178,308333333333;989,712617434783;31,6320073055556;21,3069458611111;"2007.08";24,3;1729,46024;42
"191";"AL";2007;82,3285136521739;221,584782608696;99,3604166666667;972,633497888889;29,6966857608696;20,9919631521739;"2007.08";72,6;611;44,4
"192";"AM";2007;131,364742896104;152,769078947368;206,794011976048;1000,145688;32,9681055947712;22,9607465389222;"2007.08";13,8;2554;35,2
"193";"AP";2007;118,399612833333;192,911111111111;224,608333333333;NA;32,0598779166667;24,1425089166667;"2007.08";3,2;745;2,4
"194";"BA";2007;58,8518365;214,149523809524;67,9660714285714;960,936758357388;30,3221084782609;19,2295064779874;"2007.08";831,2;2365,94802694899;1966,6
"195";"CE";2007;54,6407204822695;242,789361702128;70,0070921985816;969,865778864583;32,5200895815603;21,9776322624113;"2007.08";694,2;1084;752,5
"196";"DF";2007;50,576122;226,383333333333;98,7791666666667;890,471483041667;27,8708256666667;15,484905875;"2007.08";48,3;6707,46376811594;324
"197";"ES";2007;85,816242875;206,725;83,2375;1013,726066;30,0075540833333;21,0171051666667;"2007.08";37,4;2548;95,3
"198";"GO";2007;67,7108624418605;221,301666666667;110,048484848485;933,263272891667;31,3220329212598;18,6010112093023;"2007.08";903,5;5568,44471499723;5031,1
"199";"MA";2007;75,5952590486111;228,402941176471;116,704166666667;991,714045795918;33,5588892916667;22,6051523732394;"2007.08";353,3;1388;490,4
"200";"MG";2007;61,2286469938272;220,995614035088;88,7513986013986;933,543126936274;29,7619395238938;16,8040620857664;"2007.08";1339,4;4949,33206659698;6629,1
"201";"MS";2007;86,5510565217391;210,1375;104,761666666667;965,988084130435;30,9525079215686;19,2104397924528;"2007.08";988,3;3566,06546595163;3524,3
