"","UF","Year","ProducAlgCar","ProducCarAlg","ProduCafe","ProduCana","ProduMilho","ProduSoja","ProduTrigo"
"122","PA",2004,0,0,11.7139662424791,NA,566,207,0
"123","PB",2004,17.9,10.386675,NA,NA,90.2,0,0
"124","PE",2004,1.9,1.301475,NA,NA,141.7,0,0
"125","PI",2004,10.1,6.78375,NA,NA,195.5,554.4,0
"126","PR",2004,78.4,50.724153,21.5703855514282,NA,8414.3,9707.3,3038.9
"127","RJ",2004,0,0,18.7131135742047,NA,26.4,0,0
"128","RN",2004,10.2,6.84204,NA,NA,29.4,0,0
"129","RO",2004,0,0,9.36170212765957,NA,267.8,227.2,0
"130","RR",2004,0,0,NA,NA,26,56,0
"131","RS",2004,0,0,NA,NA,1570.9,2854.9,2130.3
"132","SC",2004,0,0,NA,NA,2818.4,644,185.2
"133","SE",2004,0,0,NA,NA,165.6,0,0
"134","SP",2004,159.7,100.63116,28.676111382511,NA,3984.5,1730.4,130
"135","TO",2004,4.8,3.06705,NA,NA,158.4,921.3,0
"136","AC",2005,0,0,NA,0,53.4,0,0
"137","AL",2005,4.131,2.76777,NA,23110.7,52.7,0,0
"138","AM",2005,0,0,NA,194.4,23.2,5.7,0
"139","AP",2005,0,0,NA,0,1.2,0,0
"140","BA",2005,781.7265,479.1983445,18.6467712889118,3367.7,1159.5,1991.3,2.5
"141","CE",2005,8.0025,5.201625,NA,1773.3,740.4,0,0
"142","DF",2005,8.787,5.44794,NA,0,234.1,145.7,6.1
"143","ES",2005,0,0,16.3374214002,4243.4,83.6,0,0
"144","GO",2005,193.7635,121.1021875,0,15547.9,3088.8,6533.5,51.2
"145","MA",2005,20.805,13.003125,NA,1969.9,424.4,1025.1,0
"146","MG",2005,86.64,54.15,14.7252192237693,27557.1,5280.8,2482.5,63.7
"147","MS",2005,108,66.96,NA,9799,2241,4445.1,135.2
"148","MT",2005,1317.6,814.2768,8.98550724637681,13460.2,4028.3,16700.4,1.7
"149","PA",2005,0,0,14.6017699115044,606.3,572.9,238.1,0
"150","PB",2005,6.885,4.47525,NA,4765.1,168.8,0,0
"151","PE",2005,2.256,1.51152,NA,16943.6,221.1,0,0
"152","PI",2005,38.916,24.90624,NA,614,233.2,544.5,0
"153","PR",2005,30.051,19.442997,13.4893777025757,28504.9,11173,9645.6,2801.5
"154","RJ",2005,0,0,21.3314244810308,7576.4,26.6,0,0
"155","RN",2005,9.588,6.2322,NA,2637.8,52.5,0,0
"156","RO",2005,0,0,10.6804894219758,0,286.2,283,0
"157","RR",2005,0,0,NA,0,24.4,28,0
"158","RS",2005,0,0,NA,906.2,4547.8,7776.1,1564.2
"159","SC",2005,0,0,NA,601.7,3178.4,827.5,114.9
"160","SE",2005,0,0,NA,1417.5,189.8,0,0
"161","SP",2005,106.434,67.05342,14.5810712993123,265543.3,4260.9,1654.6,132.1
"162","TO",2005,0,0,NA,273,167.9,700.4,0
"163","AC",2006,0,0,NA,0,56.2,0,0
"164","AL",2006,4.5,3,NA,25168.8,46,0,0
"165","AM",2006,0,0,NA,273.1,44.3,0,0
"166","AP",2006,0,0,NA,0,1.8,0,0
"167","BA",2006,1144.7,692.6,23.0177720514551,3554.1,1696.7,2297.2,0
"168","CE",2006,3.7,2.4,NA,1619.1,335.6,0,0
"169","DF",2006,5.4,3.3,NA,0,290.2,140.5,6
"170","ES",2006,0,0,19.0362087326944,3967.1,90.7,0,0
"171","GO",2006,271.5,165.6,0,18723.4,3887.5,6114,46.2
"172","MA",2006,27.4,16.9,NA,2341.4,447.1,1084,0
"173","MG",2006,100.9,63.1,21.7291832408473,33558,6256.8,2567.9,56.3
"174","MS",2006,179.2,110.2,NA,12676,2951.4,4881.3,62.1
"175","MT",2006,2008.1,1224.9,7.75674837108284,14073.6,5864.9,15359,0
"176","PA",2006,0,0,13.3875209180014,736.7,532.3,140.5,0
"177","PB",2006,1.9,1.2,NA,5927.2,70.8,0,0
"178","PE",2006,1.4,0.9,NA,18913.5,95.6,0,0
"179","PI",2006,25.1,16.1,NA,821.3,179,486,0
"180","PR",2006,27.8,17.5,22.4060600019934,34130.9,13851.3,11915.6,1127.2
"181","RJ",2006,0,0,19.1304347826087,6853.5,23.5,0,0
"182","RN",2006,8.4,5.4,NA,2888.1,37.9,0,0
"183","RO",2006,0,0,7.76623807854784,0,302.4,277.5,0
"184","RR",2006,0,0,NA,0,24.4,15.4,0
"185","RS",2006,0,0,NA,1200.4,5958.5,9924.6,728
"186","SC",2006,0,0,NA,669.7,3863.5,1104.3,126.8
