"","UF","Safra","Area","Produtividade","Producao"
"222","PA","2008.09","72.2","2890","208.7"
"223","TO","2008.09","311.4","2750","856.4"
"224","MA","2008.09","387.4","2517","975.1"
"225","PI","2008.09","273.1","2815","768.8"
"226","CE","2008.09","0","0","0"
"227","RN","2008.09","0","0","0"
"228","PB","2008.09","0","0","0"
"229","PE","2008.09","0","0","0"
"230","AL","2008.09","0","0","0"
"231","SE","2008.09","0","0","0"
"232","BA","2008.09","947.5","2552","2418"
"233","MT","2008.09","5828.2","3082","17962.5"
"234","MS","2008.09","1715.8","2436","4179.7"
"235","GO","2008.09","2307.2","2963","6836.2"
"236","DF","2008.09","48.9","3200","156.5"
"237","MG","2008.09","929.1","2961","2751.1"
"238","ES","2008.09","0","0","0"
"239","RJ","2008.09","0","0","0"
"240","SP","2008.09","531.3","2459","1306.5"
"241","PR","2008.09","4069.2","2337","9509.7"
"242","SC","2008.09","385.3","2530","974.8"
"243","RS","2008.09","3822.5","2070","7912.6"
"244","RR","2009.10","1.4","2800","3.9"
"245","RO","2009.10","122.3","3142","384.3"
"246","AC","2009.10","0","0","0"
"247","AM","2009.10","0","0","0"
"248","AP","2009.10","0","0","0"
"249","PA","2009.10","86.9","2675","232.5"
"250","TO","2009.10","364.3","2940","1071"
"251","MA","2009.10","502.1","2650","1330.6"
"252","PI","2009.10","343.1","2531","868.4"
"253","CE","2009.10","0","0","0"
"254","RN","2009.10","0","0","0"
"255","PB","2009.10","0","0","0"
"256","PE","2009.10","0","0","0"
"257","AL","2009.10","0","0","0"
"258","SE","2009.10","0","0","0"
"259","BA","2009.10","1016.5","3060","3110.5"
"260","MT","2009.10","6224.5","3015","18766.9"
"261","MS","2009.10","1712.2","3100","5307.8"
"262","GO","2009.10","2549.5","2880","7342.6"
"263","DF","2009.10","53","3196","169.4"
"264","MG","2009.10","1019","2818","2871.5"
"265","ES","2009.10","0","0","0"
"266","RJ","2009.10","0","0","0"
"267","SP","2009.10","572.2","2772","1586.1"
"268","PR","2009.10","4485.1","3139","14078.7"
"269","SC","2009.10","439.6","3060","1345.2"
"270","RS","2009.10","3976.2","2570","10218.8"
"271","RR","2010.12","3.7","2800","10.4"
"272","RO","2010.12","132.3","3215","425.3"
"273","AC","2010.12","0","0","0"
"274","AM","2010.12","0","0","0"
"275","AP","2010.12","0","0","0"
"276","PA","2010.12","104.8","3000","314.4"
"277","TO","2010.12","404.7","3032","1227.1"
"278","MA","2010.12","518.2","3087","1599.7"
"279","PI","2010.12","383.6","2983","1144.3"
"280","CE","2010.12","0","0","0"
"281","RN","2010.12","0","0","0"
"282","PB","2010.12","0","0","0"
"283","PE","2010.12","0","0","0"
"284","AL","2010.12","0","0","0"
"285","SE","2010.12","0","0","0"
"286","BA","2010.12","1043.9","3360","3507.5"
"287","MT","2010.12","6398.8","3190","20412.2"
"288","MS","2010.12","1760.1","2937","5169.4"
"289","GO","2010.12","2605.6","3140","8181.6"
"290","DF","2010.12","54.9","3200","175.7"
"291","MG","2010.12","1024.1","2845","2913.6"
"292","ES","2010.12","0","0","0"
"293","RJ","2010.12","0","0","0"
"294","SP","2010.12","612.8","2788","1708.5"
"295","PR","2010.12","4590.5","3360","15424.1"
"296","SC","2010.12","458.2","3250","1489.2"
"297","RS","2010.12","4084.8","2845","11621.3"
"298","RR","2011.12","3.7","2800","10.4"
"299","RO","2011.12","143.5","3221","462.2"
"300","AC","2011.12","0","0","0"
"301","AM","2011.12","0","0","0"
"302","AP","2011.12","0","0","0"
"303","PA","2011.12","119.2","2657","316.7"
"304","TO","2011.12","451.2","3065","1382.9"
"305","MA","2011.12","559.7","2949","1650.6"
"306","PI","2011.12","444.6","2841","1263.1"
"307","CE","2011.12","0","0","0"
"308","RN","2011.12","0","0","0"
"309","PB","2011.12","0","0","0"
"310","PE","2011.12","0","0","0"
"311","AL","2011.12","0","0","0"
"312","SE","2011.12","0","0","0"
"313","BA","2011.12","1112.8","2860","3182.6"
"314","MT","2011.12","6980.5","3130","21849"
"315","MS","2011.12","1815","2550","4628.3"
"316","GO","2011.12","2644.7","3120","8251.5"
"317","DF","2011.12","55","3200","176"
"318","MG","2011.12","1024","2987","3058.7"
"319","ES","2011.12","0","0","0"
"320","RJ","2011.12","0","0","0"
"321","SP","2011.12","582.2","2744","1597.6"
"322","PR","2011.12","4460.6","2453","10941.9"
"323","SC","2011.12","448.3","2420","1084.9"
"324","RS","2011.12","4197.2","1555","6526.6"
"325","RR","2012.13","12","2800","33.6"
"326","RO","2012.13","167.7","3216","539.3"
"327","AC","2012.13","0","0","0"
"328","AM","2012.13","0","0","0"
"329","AP","2012.13","0","0","0"
"330","PA","2012.13","172.2","3207","552.2"
"331","TO","2012.13","549.6","2795.5","1536.4"
"332","MA","2012.13","586","2877","1685.9"
"333","PI","2012.13","546.4","1678","916.9"
"334","CE","2012.13","0","0","0"
"335","RN","2012.13","0","0","0"
"336","PB","2012.13","0","0","0"
"337","PE","2012.13","0","0","0"
"338","AL","2012.13","0","0","0"
"339","SE","2012.13","0","0","0"
"340","BA","2012.13","1281.9","2100","2692"
"341","MT","2012.13","7818.2","3010","23532.8"
"342","MS","2012.13","2017","2880","5809"
"343","GO","2012.13","2888","2965","8562.9"
"344","DF","2012.13","55","3395","186.7"
"345","MG","2012.13","1121.2","3010","3374.8"
"346","ES","2012.13","0","0","0"
"347","RJ","2012.13","0","0","0"
"348","SP","2012.13","637","3220","2051.1"
"349","PR","2012.13","4752.8","3348","15912.4"
"350","SC","2012.13","512.5","3080","1578.5"
"351","RS","2012.13","4618.6","2714","12534.9"
"352","RR","2013.14","18","3120","56.2"
"353","RO","2013.14","191.1","3180","607.7"
"354","AC","2013.14","0","0","0"
"355","AM","2013.14","0","0","0"
"356","AP","2013.14","0","0","0"
"357","PA","2013.14","221.4","3020","668.6"
"358","TO","2013.14","748.4","2751","2058.8"
"359","MA","2013.14","662.2","2754","1823.7"
"360","PI","2013.14","627.3","2374","1489.2"
"361","CE","2013.14","0","0","0"
"362","RN","2013.14","0","0","0"
"363","PB","2013.14","0","0","0"
"364","PE","2013.14","0","0","0"
"365","AL","2013.14","0","0","0"
"366","SE","2013.14","0","0","0"
"367","BA","2013.14","1312.7","2520","3308"
"368","MT","2013.14","8615.7","3069","26441.6"
"369","MS","2013.14","2120","2900","6148"
"370","GO","2013.14","3101.7","2900","8994.9"
"371","DF","2013.14","72","3000","216"
"372","MG","2013.14","1238.2","2687","3327"
"373","ES","2013.14","0","0","0"
"374","RJ","2013.14","0","0","0"
"375","SP","2013.14","751.7","2246","1688.3"
"376","PR","2013.14","5010.4","2950","14780.7"
"377","SC","2013.14","542.7","3030","1644.4"
"378","RS","2013.14","4939.6","2605","12867.7"
"379","RR","2014.15Prev","18","2798","50.4"
"380","RO","2014.15Prev","228.5","3198","730.7"
"381","AC","2014.15Prev","0","0","0"
"382","AM","2014.15Prev","0","0","0"
"383","AP","2014.15Prev","0","0","0"
"384","PA","2014.15Prev","243.1","2958","719.1"
"385","TO","2014.15Prev","825.6","2794","2306.7"
"386","MA","2014.15Prev","683.7","2722","1861"
"387","PI","2014.15Prev","673.7","2759","1858.7"
"388","CE","2014.15Prev","0","0","0"
"389","RN","2014.15Prev","0","0","0"
"390","PB","2014.15Prev","0","0","0"
"391","PE","2014.15Prev","0","0","0"
"392","AL","2014.15Prev","0","0","0"
"393","SE","2014.15Prev","0","0","0"
"394","BA","2014.15Prev","1358.6","3000","4075.8"
"395","MT","2014.15Prev","8805.2","3164","27859.7"
"396","MS","2014.15Prev","2300.5","3060","7039.5"
"397","GO","2014.15Prev","3241.3","2649","8586.2"
"398","DF","2014.15Prev","55.1","2626","144.7"
"399","MG","2014.15Prev","1317.4","2550","3359.4"
"400","ES","2014.15Prev","0","0","0"
"401","RJ","2014.15Prev","0","0","0"
"402","SP","2014.15Prev","733.7","2874","2108.7"
"403","PR","2014.15Prev","5203.7","3266","16995.3"
"404","SC","2014.15Prev","600.1","3160","1896.3"
"405","RS","2014.15Prev","5216","2816","14688.3"
