"","UF","Safra","Area","ProdutAlgCar","ProdutPluma","ProdutCarAlg","RendPluma","ProducAlgCar","ProducPluma","ProducCarAlg"
"112","AM","2004.05","0","0","0","0","0","0","0","0"
"113","AP","2004.05","0","0","0","0","0","0","0","0"
"114","PA","2004.05","0","0","0","0","0","0","0","0"
"115","TO","2004.05","1.4","3450","1259.25","2190.75","36.5","4.8","1.76295","3.06705"
"116","MA","2004.05","9","2400","900","1500","37.5","21.6","8.1","13.5"
"117","PI","2004.05","15","675","222.75","452.25","33","10.1","3.34125","6.78375"
"118","CE","2004.05","10.2","630","207.9","422.1","33","6.4","2.12058","4.30542"
"119","RN","2004.05","18.4","555","183.15","371.85","33","10.2","3.36996","6.84204"
"120","PB","2004.05","19.5","795","262.35","532.65","33","17.9","5.115825","10.386675"
"121","PE","2004.05","3.7","525","173.25","351.75","33","1.9","0.641025","1.301475"
"122","AL","2004.05","8.1","370","122.1","247.9","33","3","0.98901","2.00799"
"123","SE","2004.05","0","0","0","0","0","0","0","0"
"124","BA","2004.05","247","3300","1283.7","2016.3","38.9","782.1","317.0739","498.0261"
"125","MT","2004.05","451.6","3420","1289.34","2130.66","37.7","1544.5","582.265944","962.206056"
"126","MS","2004.05","58.9","3060","1168.92","1891.08","38.2","180.2","68.849388","111.384612"
"127","GO","2004.05","143.7","2925","1111.5","1813.5","38","420.3","159.72255","260.59995"
"128","DF","2004.05","4.2","3435","1305.3","2129.7","38","14.4","5.48226","8.94474"
"129","MG","2004.05","54.2","2610","978.75","1631.25","37.5","141.5","53.04825","88.41375"
"130","ES","2004.05","0","0","0","0","0","0","0","0"
"131","RJ","2004.05","0","0","0","0","0","0","0","0"
"132","SP","2004.05","78.3","2040","754.8","1285.2","37","159.7","59.10084","100.63116"
"133","PR","2004.05","56.2","1395","492.435","902.565","35.3","78.4","27.674847","50.724153"
"134","SC","2004.05","0","0","0","0","0","0","0","0"
"135","RS","2004.05","0","0","0","0","0","0","0","0"
"136","RR","2005.06","0","0","0","0","0","0","0","0"
"137","RO","2005.06","0","0","0","0","0","0","0","0"
"138","AC","2005.06","0","0","0","0","0","0","0","0"
"139","AM","2005.06","0","0","0","0","0","0","0","0"
"140","AP","2005.06","0","0","0","0","0","0","0","0"
