"","UF","Safra","Area","Produtividade","Producao"
"245","RO","2009.10","166.6","2245.97358943577","374.2"
"246","AC","2009.10","29","1992","57.8"
"247","AM","2009.10","12.8","2490","31.9"
"248","AP","2009.10","3.6","903","3.3"
"249","PA","2009.10","217.8","2482","540.6"
"250","TO","2009.10","77.7","3422.48648648649","265.9"
"251","MA","2009.10","382.4","1470","562.1"
"252","PI","2009.10","309.9","1141","353.6"
"253","CE","2009.10","535.6","327","175.1"
"254","RN","2009.10","37","248","9.2"
"255","PB","2009.10","69.6","91","6.3"
"256","PE","2009.10","272.5","461","125.6"
"257","AL","2009.10","58","720","41.8"
"258","SE","2009.10","176.8","4088","722.8"
"259","BA","2009.10","806.9","2821.99727351592","2277.1"
"260","MT","2009.10","1990.1","4079.23737500628","8118.1"
"261","MS","2009.10","887.5","4211","3737.3"
"262","GO","2009.10","812.5","5902.71384615385","4796"
"263","DF","2009.10","33.2","7691.82228915663","255.4"
"264","MG","2009.10","1192.3","5102.42992535436","6083.6"
"265","ES","2009.10","34.5","2151","74.2"
"266","RJ","2009.10","7","2507","17.5"
"267","SP","2009.10","879.5","5162.35542922115","4540.3"
"268","PR","2009.10","2250.1","5974.52913203858","13443.3"
"269","SC","2009.10","593.5","6400","3798.4"
"270","RS","2009.10","1151","4860","5593.9"
"271","RR","2010.12","6.5","2000","13"
"272","RO","2010.12","149.7","2344.3293253173","350.9"
"273","AC","2010.12","37.7","2220","83.7"
"274","AM","2010.12","14","2500","35"
"275","AP","2010.12","3.6","803","2.9"
"276","PA","2010.12","213.1","2556","544.7"
"277","TO","2010.12","97.1","3968.25643666323","385.3"
"278","MA","2010.12","477.6","1842","879.7"
"279","PI","2010.12","349.6","2017","705.1"
"280","CE","2010.12","723","1313","949.3"
"281","RN","2010.12","73.5","672","49.4"
"282","PB","2010.12","157.2","617","97"
"283","PE","2010.12","298.3","640","190.9"
"284","AL","2010.12","57.2","893","51.1"
"285","SE","2010.12","221.4","4192","928.1"
"286","BA","2010.12","789.9","2883.0954551209","2277.4"
"287","MT","2010.12","1898.4","4013.75521491783","7619.7"
"288","MS","2010.12","992.8","3447.99758259468","3423.2"
"289","GO","2010.12","933.9","6435.19648784666","6009.8"
"290","DF","2010.12","32.4","8115.43209876543","262.9"
"291","MG","2010.12","1205.4","5414.57142857143","6526.7"
"292","ES","2010.12","34.3","2381","81.7"
"293","RJ","2010.12","7.2","2350.67","16.9"
"294","SP","2010.12","899.1","4812.54387721054","4327"
"295","PR","2010.12","2485.8","4927.07458363505","12247.7"
"296","SC","2010.12","548.2","6515","3571.5"
"297","RS","2010.12","1099.2","5255","5776.3"
"298","RR","2011.12","6.5","2000","13"
"299","RO","2011.12","162.3","2795.654343807764","453.7"
"300","AC","2011.12","43.8","2290","100.3"
"301","AM","2011.12","14.4","2500","36"
"302","AP","2011.12","2.6","825","2.1"
"303","PA","2011.12","236.3","2538","599.7"
"304","TO","2011.12","103.6","4320.714285714286","447.6"
"305","MA","2011.12","454.6","1609.4179498460185","731.6"
"306","PI","2011.12","351.6","2238.9519340159272","787.2"
"307","CE","2011.12","520.6","142","73.9"
"308","RN","2011.12","7.6","337","2.6"
"309","PB","2011.12","39.8","106","4.2"
"310","PE","2011.12","205.8","117","24.1"
"311","AL","2011.12","29.7","754","22.4"
"312","SE","2011.12","206.8","2629","543.7"
"313","BA","2011.12","605","3593.8704132231405","2174.3"
"314","MT","2011.12","2739.9","5697.4176064819885","15610.4"
"315","MS","2011.12","1267.7","5187.637295890195","6576.4"
"316","GO","2011.12","1241.9","6905.441500926001","8575.9"
"317","DF","2011.12","42.3","8358.35460992908","353.6"
"318","MG","2011.12","1312.8","5947.112583790372","7807.4"
"319","ES","2011.12","31.5","2429","76.5"
"320","RJ","2011.12","6.1","2435","14.9"
"321","SP","2011.12","891.9","5495.279739881153","4901.2"
"322","PR","2011.12","3002.8","5580.4901758358865","16757.1"
"323","SC","2011.12","536.7","5491","2947"
"324","RS","2011.12","1113.5","3002","3342.7"
