"","UF","Estacao","Year","EvapoBHReal","InsolacaoTotal","PrecipitacaoTotal","PressaoMedia","TempMaximaMedia","TempMinimaMedia"
"25","AM",82326,2000,NA,117.533333333333,244.291666666667,1011.46129,32.511059,21.3793703333333
"26","AM",82331,2000,NA,148.233333333333,216.633333333333,1005.98172,32.0144506666667,22.159372
"27","AM",82336,2000,NA,140.116666666667,219.9,NA,32.4725849166667,21.9498588181818
"28","PA",82353,2000,NA,177.875,210.325,NA,32.2804109166667,22.0767393333333
"29","PA",82361,2000,NA,178.875,213.958333333333,1007.42043,33.357161,23.72810225
"30","MA",82376,2000,NA,217.42,157.45,1005.95977,32.8741001666667,22.60894325
"31","MA",82382,2000,NA,238.266666666667,162.591666666667,997.787820166667,32.5384835,22.8417679166667
"32","CE",82392,2000,NA,212.725,129.175,998.2557004,32.05703375,21.883496625
"33","CE",82397,2000,NA,212.722222222222,215.3,1007.79,30.54041625,23.6245663333333
"34","AM",82410,2000,NA,144.066666666667,203.866666666667,NA,31.981582,22.0385468333333
"35","AM",82425,2000,NA,148.175,211.416666666667,1009.239785,31.9387121666667,23.2223143333333
"36","PA",82445,2000,NA,166.716666666667,198.875,NA,32.6517855833333,22.8057014166667
"37","MA",82460,2000,NA,200.6,163.008333333333,NA,36.0443012,23.78241125
"38","PI",82474,2000,NA,217.022222222222,126.822222222222,NA,33.1747934444444,22.1229523333333
"39","MA",82476,2000,NA,231.591666666667,126.883333333333,NA,34.4140745833333,22.9115818333333
"40","PI",82480,2000,NA,236.425,118.333333333333,991.289665333333,33.6227519166667,22.0216950833333
"41","CE",82487,2000,NA,111.375,197.555555555556,913.593901,24.04647025,18.368165
"42","CE",82493,2000,NA,234.188888888889,86.1444444444444,NA,32.4455792222222,22.9566308888889
"43","AM",82533,2000,NA,145.7,217.375,NA,32.1211419166667,22.39740275
"44","PA",82562,2000,NA,193.483333333333,144.575,999.105621166667,32.14082525,23.5216374166667
"45","MA",82564,2000,NA,199.78,62.3125,NA,34.2556125,22.424376
"46","MA",82571,2000,NA,191.883333333333,120.2,992.204121416667,31.9833861666667,20.7853358333333
"47","PI",82578,2000,NA,234.344444444444,149.755555555556,NA,33.0950410833333,22.380239
"48","CE",82583,2000,NA,213.909090909091,71.5181818181818,977.799646181818,32.7628101818182,21.8541180909091
"49","CE",82586,2000,NA,228.1375,91.6777777777778,985.6642484,31.885010125,22.670124125
"50","CE",82588,2000,NA,242.385714285714,103.225,1006.12069,32.5285005714286,21.6712548571429
"51","RN",82590,2000,NA,254.377777777778,117.7,996.0047018,31.6600481111111,25.0446614444444
"52","RN",82594,2000,NA,204.655555555556,88.0888888888889,NA,32.044128,24.0480615555556
"53","RN",82596,2000,NA,229.358333333333,137.516666666667,NA,30.19906675,21.7327593333333
"54","RN",82598,2000,NA,240.35,187.175,1008.259785,29.41212825,19.8398426666667
"55","AM",82610,2000,NA,103.291666666667,224.733333333333,NA,32.5463843333333,21.6658036666667
"56","TO",82659,2000,NA,186.733333333333,168.6,984.037495416667,31.8830964166667,20.2713314166667
"57","MA",82676,2000,NA,208.775,126.7,NA,32.5954478333333,21.4679206666667
"58","PI",82678,2000,NA,233.377777777778,97.3111111111111,995.2355546,33.0019626666667,21.8572396666667
"59","CE",82683,2000,NA,203.9375,81.575,965.8407972,31.200866625,20.92922575
"60","CE",82686,2000,NA,243.054545454545,99.95,987.312169166667,32.71708875,22.3875806666667
"61","PB",82689,2000,NA,257.025,133.725,983.1531632,32.041871125,21.238237875
"62","RN",82690,2000,NA,199.085714285714,79.425,992.35901975,33.4779235714286,22.2913984285714
"63","RN",82691,2000,NA,218.844444444444,94.7777777777778,973.357443,31.4975746666667,20.971639
"64","RN",82693,2000,NA,238.025,57.3166666666667,986.565397666667,33.246805,22.4196891666667
"65","PB",82696,2000,NA,153.3,219.877777777778,947.5238166,26.1606555555556,19.7862066666667
"66","AC",82704,2000,NA,117.241666666667,192.875,990.966826166667,32.5848496666667,21.25513575
"67","AM",82723,2000,NA,130.366666666667,183.85,NA,32.3045995,21.5729951666667
"68","PE",82753,2000,NA,213.190909090909,40.6083333333333,959.420510818182,31.6413699090909,21.0246244545455
